DATE,ARBB,AWAN,CNSH,CUSC,DATA,DIGS,DNEX,DOVT
15/1/2019,0.36,0.332,0.14,0.21,0.22,0.048,0.265,0.75
14/1/2019,0.315,0.349,0.14,0.21,0.225,0.048,0.265,0.755
11/1/2019,0.306,0.366,0.145,0.225,0.225,0.048,0.28,0.775
10/1/2019,0.301,0.357,0.14,0.215,0.23,0.048,0.265,0.8
9/1/2019,0.306,0.37,0.145,0.2,0.23,0.048,0.26,0.755
8/1/2019,0.292,0.366,0.135,0.195,0.215,0.043,0.25,0.72
7/1/2019,0.306,0.366,0.135,0.18,0.22,0.043,0.24,0.72
4/1/2019,0.283,0.357,0.13,0.175,0.22,0.043,0.25,0.69
3/1/2019,0.279,0.357,0.125,0.17,0.21,0.043,0.23,0.7
2/1/2019,0.261,0.366,0.13,0.165,0.2,0.043,0.225,0.695
1/1/2019,0.261,0.387,0.13,0.175,0.205,0.048,0.23,0.715
